ID,Price,Levy,Manufacturer,Model,Production Year,Category,Leather interior,Fuel type,Engine volume(Turbo),Mileage(Km),Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
44731507,16621,1018,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3,192000,6,Tiptronic,4x4,4,Left wheel,Black,8
45774419,8467,0,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000,4,Variator,Front,4,Right-hand drive,Black,2
45769185,3607,862,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966,4,Automatic,4x4,4,Left wheel,White,0
45809263,11726,446,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901,4,Automatic,Front,4,Left wheel,Silver,4
45656768,1803,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909,4,Automatic,Front,4,Left wheel,White,12
45756839,26657,0,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500,6,Automatic,4x4,4,Left wheel,Silver,12
45621750,941,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467,6,Automatic,Rear,4,Left wheel,White,12
45661288,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038,6,Automatic,Front,4,Left wheel,White,12
45772281,7683,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840,4,Automatic,Front,4,Left wheel,Blue,12
45797221,28382,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317,4,Automatic,Front,4,Left wheel,White,4
45801686,18826,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645,4,Automatic,Front,4,Left wheel,Silver,4
45168471,20698,586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000,4,Automatic,Front,4,Left wheel,White,12
45751951,17562,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709,4,Automatic,Front,4,Left wheel,Black,12
45814106,7840,0,FORD,Transit,2001,Microbus,No,Diesel,2,230000,4,Manual,Front,2,Left wheel,White,0
45782859,20385,0,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2,210000,4,Tiptronic,Rear,4,Left wheel,Black,8
45801525,14454,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787,4,Automatic,Front,4,Left wheel,Silver,4
45760983,19444,915,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3,175056,6,Automatic,4x4,4,Left wheel,White,12
45542380,24462,0,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3,250000,6,Tiptronic,4x4,4,Left wheel,Black,10
45732374,23235,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000,4,Automatic,Front,4,Left wheel,Grey,4
45801668,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490,4,Automatic,Front,4,Left wheel,Silver,4
45815051,24462,751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200,4,Automatic,Front,4,Left wheel,Blue,4
45108412,21326,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000,4,Tiptronic,Front,4,Left wheel,White,12
45726453,15681,503,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000,4,Variator,Front,4,Left wheel,Sky blue,8
45811563,12544,0,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500,4,Automatic,Front,4,Right-hand drive,Black,8
45699930,17249,0,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000,4,Variator,4x4,4,Left wheel,White,8
45809839,34889,891,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768,4,Automatic,Front,4,Left wheel,Blue,4
45767508,862,1104,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014,6,Automatic,4x4,4,Left wheel,Black,0
45802148,14583,0,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5,132542,4,Manual,Front,4,Left wheel,White,10
45782169,8781,0,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2,260000,4,Manual,Rear,2,Left wheel,Blue,0
45641216,1411,629,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112,4,Automatic,4x4,4,Left wheel,Black,0
45418626,16935,530,FORD,Fusion,2013,Sedan,No,Petrol,1.6,83000,4,Tiptronic,Front,4,Left wheel,Silver,8
45323316,10349,0,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000,4,Automatic,Front,4,Right-hand drive,Black,6
45778144,5331,0,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000,4,Tiptronic,Front,4,Left wheel,Black,6
45803923,20526,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279,4,Automatic,Front,4,Left wheel,Grey,4
45802190,34657,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672,4,Automatic,Front,4,Left wheel,Silver,4
45802203,36564,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969,4,Automatic,Front,4,Left wheel,Black,4
45786421,5488,0,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000,4,Manual,Front,4,Right-hand drive,Sky blue,3
45802120,30063,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105,4,Automatic,Front,4,Left wheel,Silver,4
45809414,15800,769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456,4,Automatic,Front,4,Left wheel,Silver,4
45814804,3763,1053,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362,6,Automatic,Rear,4,Left wheel,White,12
45787521,18189,0,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000,4,Automatic,Front,4,Left wheel,Silver,8
45757322,7527,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656,4,Automatic,Front,4,Left wheel,White,12
45771208,21953,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053,4,Automatic,Front,4,Left wheel,Black,0
45801684,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362,4,Automatic,Front,4,Left wheel,Black,4
45732386,36065,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191,4,Automatic,Front,4,Left wheel,White,4
43892866,8781,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000,4,Tiptronic,Front,4,Right-hand drive,Green,12
45810403,6247,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772,4,Automatic,Front,4,Left wheel,Black,4
45810513,16289,642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000,4,Automatic,Front,4,Left wheel,Grey,4
45744824,6981,1095,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246,4,Automatic,Front,4,Left wheel,Black,4
45792882,27284,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394,4,Tiptronic,Front,4,Left wheel,Black,12
45330228,32929,0,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2,160000,4,Automatic,Rear,2,Left wheel,Black,12
45789555,15053,0,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000,6,Tiptronic,Rear,4,Left wheel,Grey,8
45797276,15458,966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346,4,Automatic,Front,4,Left wheel,Black,4
45809760,2901,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827,4,Automatic,Front,4,Left wheel,Green,12
45810325,706,1138,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464,6,Automatic,Rear,2,Left wheel,Black,12
44094036,12858,765,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200,4,Automatic,Front,4,Left wheel,Sky blue,10
45642797,1019,917,BMW,X5,2013,Jeep,Yes,Diesel,3,137802,6,Automatic,4x4,4,Left wheel,Black,12
45742789,12858,0,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000,4,Manual,Front,4,Left wheel,Silver,2
45783859,15000,0,BMW,328,2008,Sedan,Yes,CNG,3,210408,6,Tiptronic,Rear,4,Left wheel,White,12
45797948,17158,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740,4,Automatic,Front,4,Left wheel,White,4
45782067,12231,0,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000,4,Tiptronic,4x4,4,Right-hand drive,White,16
45753393,1254,0,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000,4,Manual,Rear,4,Left wheel,Red,0
45726679,25591,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704,4,Automatic,Front,4,Left wheel,Silver,4
45803059,14897,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962,4,Automatic,Front,4,Left wheel,White,4
45770405,23521,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000,4,Tiptronic,Front,4,Left wheel,White,12
45636958,16935,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454,4,Automatic,Front,4,Left wheel,Black,0
45646428,706,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312,4,Automatic,Front,4,Left wheel,Grey,12
45801896,9408,0,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2,111111,4,Manual,Rear,4,Left wheel,Silver,4
45762683,17876,0,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000,4,Tiptronic,Front,4,Right-hand drive,White,12
45732074,20071,0,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000,4,Automatic,4x4,4,Left wheel,Silver,8
45731782,22894,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444,4,Automatic,Front,4,Left wheel,Yellow,4
45662111,2901,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403,4,Automatic,Front,4,Left wheel,White,0
45766794,15681,0,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000,4,Automatic,4x4,2,Left wheel,Blue,6
44698379,18660,0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000,4,Tiptronic,Front,4,Left wheel,Black,6
45770233,22580,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930,4,Automatic,Rear,4,Left wheel,Black,12
45803455,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872,4,Automatic,Front,4,Left wheel,Silver,4
45810339,5488,751,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958,4,Automatic,Front,4,Left wheel,Black,12
45642844,18817,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058,4,Automatic,Front,4,Left wheel,White,12
44921934,21169,697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330,4,Automatic,4x4,4,Left wheel,Grey,8
45462592,9095,0,FIAT,500,2011,Coupe,No,Petrol,1.2,141000,4,Automatic,Front,2,Right-hand drive,Red,4
45634898,1568,639,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2,82392,4,Automatic,Front,4,Left wheel,Silver,12
45777114,3136,0,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2,180000,6,Tiptronic,4x4,4,Right-hand drive,Blue,6
